,direction,direction_spherical,peaks,column_density,angle_respect_to_los
2843,"[0.07014454287343411, -0.7594310079438371, 0.646795398312703]","[0.8674212709235987, -1.4786930492451218]","[0.23409967338571036, 18.46665853862587, 15.663970189478984]",2.421487005067737e+16,0.2772925348242697
394,"[0.59342972685707, -0.24713227707962085, 0.7660070475575175]","[0.6981898759470933, -0.3946042891032815]","[0.18067817944180575, 36.65750507507212, 15.175365744121699]",3.5835625427228336e+19,0.2779178329363663
2605,"[0.914445436784761, -0.36105709214004766, 0.18283139598794665]","[1.3869307029321902, -0.37604779486191603]","[31.900199327451745, 21.356024732335243, 33.00545494170976]",2.090380105660856e+19,0.2785869753329496
1746,"[-0.7338780777413892, -0.6791707439058038, -0.012250209510062888]","[1.5830468427189766, -2.3948909766040836]","[2.473569247672124, 22.93405042356709, 23.459462793411475]",5.438473305789085e+16,0.27871724877013254
2265,"[0.07677204477931657, 0.7121572063500493, -0.6978095489344478]","[2.3431311706540807, 1.4634089355025857]","[22.39323226949434, 25.377974862421105, 30.370565866958827]",5.3066025408103e+17,0.2791008213053879
739,"[0.6327936476353261, -0.6206539339804363, 0.46299124586431023]","[1.0894293492441773, -0.7757134073019908]","[18.469333272296254, 13.173361533946878, 37.036997615951435]",3.3284739056607834e+17,0.2795886708028856
1119,"[-0.42255187768852076, -0.11115745865342727, 0.8994964869567957]","[0.45218057593281397, -2.8843583665793693]","[26.019057251561122, 38.71345184362865, 22.891307490437274]",5.980395237989791e+16,0.281183413488546
2171,"[-0.20144375083615293, 0.9424568034732411, 0.26682501538661063]","[1.3006992290762929, 1.7813709238813076]","[10.067453721576422, 4.653308156526517, 8.545106810126434]",2.2990175833832296e+16,0.2812103442497699
2557,"[0.5160013970583557, -0.21578788348699954, -0.8289620905530158]","[2.5480457375812646, -0.39609048267192265]","[31.605595208417768, 17.551253927903637, 4.008933507817019]",1.922452152919695e+16,0.2812871241457595
996,"[-0.2089261229615174, 0.9390150301937792, 0.27313119231322686]","[1.2941498360863228, 1.7897251722582344]","[7.129799920155975, 39.9103887198352, 39.60987473954074]",7.071871722072232e+16,0.28190784878070874
1287,"[-0.9857961471775536, -0.15754903947950769, -0.058174361783996695]","[1.6290035514766759, -2.983113794333745]","[34.26152231133572, 21.05090347897574, 0.3978994255537316]",6.521219589589794e+16,0.2820722819348454
1572,"[-0.9577049704257679, -0.2786471312559021, 0.07181201755023241]","[1.4989224435486517, -2.8584563885748846]","[34.19824876135753, 10.877501710587978, 32.08678352092683]",5.755227690975547e+19,0.2821186827263358
2378,"[-0.6008494681658817, -0.011816214720297024, 0.7992748548994022]","[0.6447087120508225, -3.121929339548693]","[36.77216758562908, 31.138140149846574, 31.479378450940086]",2.381288321597436e+16,0.2823675444121238
202,"[-0.39316899671467814, -0.8981508005094124, 0.19683312619240426]","[1.3726695231327908, -1.983419840280421]","[27.87784290767543, 30.73516701421007, 31.95668308182632]",2.599643888087084e+16,0.28261666734387636
333,"[0.846356023973804, 0.3620556068917399, 0.390636939115475]","[1.1694729202179923, 0.40422439924026277]","[25.475998946090215, 15.39949313902424, 4.075574057995254]",7.708157033748337e+17,0.2826405063855243
1984,"[-0.29600860131158924, -0.32203426116865197, -0.8992623880620807]","[2.6888765890961133, -2.314109556317903]","[15.053654188478433, 8.736875773225247, 35.1600573608807]",1.6343235623298804e+16,0.2834211485638166
1475,"[-0.018634327783704458, -0.9788302222294806, 0.2038238403088213]","[1.3655341496605555, -1.589831371582035]","[16.117786433081704, 9.57478073974415, 28.88541969275727]",1.2857270505512596e+20,0.2836003255029969
887,"[0.5234514713786235, 0.7031954991955307, 0.4811596897316966]","[1.068819203075112, 0.9308955038265438]","[4.909753232205503, 20.50206658689659, 4.082305196506837]",7.589365644560052e+17,0.2837244045940026
1040,"[0.7452613233841585, -0.575212719578422, 0.33721786296530465]","[1.2268362344791115, -0.6573245928348559]","[3.447148581805129, 25.867593570272724, 23.305674984921392]",1.92995718949128e+19,0.28488064400371754
757,"[0.8909463921129109, 0.09531761157342454, -0.4439922063560629]","[2.030845542581189, 0.10657928466592329]","[6.114114867179046, 8.901001998658082, 36.63968064799973]",3.5639082615170556e+19,0.285643418041878
747,"[-0.10287500348419235, -0.9843032946362641, -0.14340068976934284]","[1.7146930971687138, -1.6749337964676987]","[8.770635193610318, 3.6388731204128106, 19.17047132447395]",6.156486862705379e+16,0.2858725379002252
210,"[-0.006660316991841238, -0.8866231347824202, -0.4624446529544513]","[2.0515467341251314, -1.5783081900136298]","[12.285990942182934, 4.29564598784834, 35.748367252964826]",8.208818669161877e+19,0.2861540587025955
2578,"[-0.47736243038432336, -0.18557196644124854, 0.8588877431473216]","[0.5377023065244947, -2.770826888033247]","[9.6664598968285, 17.56507281150016, 7.918504266877532]",1.0579729763466558e+17,0.28625402835637276
1194,"[0.5062800475386993, -0.672037776533567, 0.5404125649686837]","[0.9998689631115919, -0.9251542944150409]","[20.09681160770394, 15.858673448019871, 39.40029466796422]",2.7850126900265308e+16,0.2863212925698456
1026,"[0.5753818815182608, 0.6946275770701054, 0.43177334284809993]","[1.1243384219307648, 0.879017241160668]","[0.041585852869992834, 16.936195529594475, 36.29154481811044]",1.2794711379868709e+17,0.28663271637057824
1839,"[-0.6143017893611418, 0.6770815425431191, -0.40520846034495617]","[1.9880031647097376, 2.30761838989049]","[3.0288532944898257, 26.907396860168735, 0.5150917632617977]",2.8624066887067643e+18,0.28663365324897977
1904,"[-0.025917378661924496, -0.9707405337992482, 0.23872809956610577]","[1.3297404576138059, -1.5974885502137393]","[23.83904954350949, 4.075974292655193, 23.54077535428209]",1.0771507453593035e+20,0.28679489404650915
1165,"[0.5022708685164704, 0.639475818114594, 0.5820606950193253]","[0.9495357006786557, 0.9049957522528861]","[13.115488984994386, 0.3858995073058722, 6.912269927868664]",1.989177404393273e+16,0.28696152189556934
1461,"[-0.42522595411459824, 0.2633884619779341, 0.8659153573209266]","[0.5238188265920359, 2.587024484618221]","[35.04760878511408, 9.479173067893045, 28.479046145539034]",7.168727852493697e+17,0.2871706123904293
594,"[0.8268912263581663, 0.3816552416562414, 0.41302563635712003]","[1.1450225088372208, 0.4324208729404012]","[20.634981654528758, 19.990555645091177, 34.907398006589666]",9.24390374678072e+18,0.2872806336905019
2093,"[-0.4903039378577385, -0.8560209837325375, 0.16379903519487682]","[1.4062558462954098, -2.090953790290556]","[37.04906659997681, 33.6592473221718, 24.199645921024384]",2.316980451014841e+16,0.2874872259673874
233,"[-0.2567446288285153, -0.6298607770121797, 0.733046790559321]","[0.7480057213835472, -1.9578554208242407]","[31.582320685158585, 25.029993578614846, 24.326401799760216]",7.314027873862474e+16,0.2876206565920375
1757,"[0.22846231758907454, 0.3004175908121917, 0.9260422455657348]","[0.38700852041005324, 0.9206201102957631]","[11.303507659618177, 33.914309738114, 9.229794443671269]",5.271135290258071e+16,0.2876631153433091
949,"[0.7835343526490522, 0.5740619377021718, -0.23775367484112184]","[1.8108488818721242, 0.6323088888779939]","[0.9243936075800712, 9.551997054539703, 33.82089259917595]",2.8516352456706544e+19,0.2878654787695335
2194,"[-0.9905008549485174, 0.05786548736794563, -0.12473829290929903]","[1.6958603863890922, 3.083238548243098]","[37.244720531885676, 32.50100830748801, 17.116280139991616]",6.616528424796534e+17,0.2881536101752524
1796,"[0.5554493993920584, 0.6294265585386157, 0.5434134449213008]","[0.9962983300349956, 0.8477517457728658]","[16.329732668130163, 19.235122928692487, 38.53557309192249]",4.845521293925952e+16,0.28859353186334114
1127,"[-0.8871372533702122, 0.45668507409178266, -0.06652996907063072]","[1.6373754734469264, 2.6661870162869064]","[38.90339856933755, 38.546750906052225, 7.072815566672524]",2.0486465238040605e+17,0.28889275426143485
865,"[-0.31420372921313017, -0.9487015717113136, -0.03523271748027444]","[1.6060363376726796, -1.8906197349526526]","[11.038973890373605, 35.672906391276754, 37.932727911227246]",5.4027279179648424e+16,0.2889701310174543
1152,"[0.26763383619050796, -0.7328508667930341, 0.6255411551342162]","[0.8949713679319282, -1.2206489688888265]","[34.463307259665925, 26.522779160507355, 24.448752951284263]",1.5029617265828707e+17,0.29005631973819646
1154,"[-0.7475972836190231, -0.5064668559260557, -0.4296389476919387]","[2.0148892295747745, -2.546155285019563]","[6.8145690354951824, 38.96596540659243, 8.829237485676572]",4.360202152851495e+19,0.29011183964815696
377,"[0.32878799520298135, 0.8156653620798358, -0.47601309993903984]","[2.0669119852213886, 1.1876274748406974]","[2.2853555804232215, 8.935626528358142, 35.425266536453705]",1.8442417375839875e+17,0.29031465205063695
2420,"[-0.5729970896240946, 0.09355277747794886, 0.8142003519456859]","[0.619445781742493, 2.979751427785343]","[28.506936384514386, 27.813958717725, 27.69119637860249]",3.0633820634341263e+21,0.2910771858712187
1777,"[0.8476845831829106, 0.4152565353782334, -0.3301406628388588]","[1.9072489160851476, 0.455512043531042]","[24.506686600221688, 14.257407141522236, 31.631503427071394]",3.576042227729215e+16,0.29111958752963457
249,"[-0.38473866508758003, -0.47906239149764007, 0.7889710923976799]","[0.6616637061114087, -2.247429299042864]","[9.933620426337558, 36.27099770075361, 39.72040260098214]",5.259101797677262e+17,0.2912512962299747
956,"[0.07340432614369127, -0.7830223423986415, -0.6176469996753297]","[2.2365435967728886, -1.4773246329079144]","[7.82951065215839, 3.0317380403794942, 13.981132150944626]",2.4872759006067624e+16,0.2915740574813584
1167,"[0.053308444346700366, -0.07926681825596882, 0.9954270346363465]","[0.09567084148787044, -0.9787530180379045]","[26.367702734606873, 12.152487571299531, 33.249572940432145]",6.1297384047208904e+16,0.29179562805759984
211,"[0.1603291053673516, 0.9187941325105614, -0.36071029932103277]","[1.9398256779764633, 1.3980363412292371]","[14.763222297857332, 3.8595523339269135, 39.1831402119205]",6.610294404368176e+16,0.2918443388938878
1845,"[-0.4074531513894505, -0.7931415207434697, 0.4526681538340652]","[1.1010409720981724, -2.0453600828731027]","[2.0352819414380097, 17.690046278893977, 30.95201161122555]",1.7450146813971836e+16,0.2919347736754688
1044,"[-0.8274130137965987, 0.020707043748170957, 0.5612120124687647]","[0.9749468894398761, 3.1165716278194187]","[24.767339918550906, 14.453735842929685, 2.2240875234822184]",2.788064262806363e+19,0.291991515216362
760,"[0.20713149457813673, -0.7598545418107543, -0.6162123166923853]","[2.234720661325665, -1.3046686886284327]","[29.97005240237924, 10.462920117192468, 17.012328706665365]",1.2957868763977614e+17,0.2920974800939212
1344,"[-0.47730373522118275, 0.09148173871862605, 0.8739635208776875]","[0.5074973277145854, 2.9522255888324604]","[19.85494284392535, 27.070131590395995, 31.440562153596247]",5.639012722389101e+16,0.292113889733736
2721,"[0.06555486771439809, -0.3621916354090786, 0.9297955573988536]","[0.37693930781833573, -1.3917398019098497]","[7.889923337572778, 38.18512467850502, 5.969115077703325]",5.3882536355943496e+16,0.29279591264374427
132,"[-0.3194573942918891, 0.9419372933250101, 0.10344616317578337]","[1.4671647713622702, 1.8977721062973953]","[4.819739159143612, 12.812513305531276, 25.4388899274714]",1.653019919764734e+17,0.2934037762550083
1652,"[-0.04653436520097037, -0.9778268911662722, -0.2041791462599603]","[1.776421442266376, -1.6183500230987746]","[20.466398932678914, 35.65768552269347, 3.873886422862782]",1.610402609130748e+18,0.29354418733995913
1852,"[0.16355745390856183, -0.922701299192328, 0.3491006613281327]","[1.2141851141072684, -1.3953592686257499]","[13.728534258186652, 39.46442183082943, 28.24546477617291]",1.0419096583955107e+17,0.29358235184335146
199,"[0.1731040640793767, 0.4586133253074203, -0.8716127585399805]","[2.6292791199987633, 1.2098785569254467]","[6.928897409946501, 27.617259358190594, 27.081526480857306]",6.390382508808323e+17,0.2939687868201706
1366,"[0.031703339683460924, 0.2633052412658259, 0.9641914997420691]","[0.26841860162364456, 1.4509678991895896]","[22.531769344443546, 38.85940645674886, 21.691008062763835]",8.41312042656036e+17,0.2943423315269297
57,"[-0.5480849812241364, 0.8354989350044228, -0.039298638182674574]","[1.6101050873718141, 2.1513759748264683]","[21.026417821300285, 25.13089851977684, 29.454853286721274]",1.2438431902927254e+17,0.29512009305967857
766,"[-0.4699555804398464, 0.6919643080742504, 0.5480211207287279]","[0.9907996934246442, 2.1673994510982126]","[39.11861265297873, 29.66482947380632, 8.472154653827317]",8.457365288656834e+16,0.2952270630658741
693,"[0.13716654112269305, -0.14942975447669532, 0.9792119732077783]","[0.20425695786234518, -0.8281612327949125]","[12.168499467906718, 17.787040674278117, 33.80133651192877]",1.2864596502926392e+17,0.29632966385635195
1512,"[-0.44707939558225884, 0.2923469138441619, 0.8453716910398624]","[0.563535724355522, 2.562478005977452]","[38.50789797199593, 8.983859424812557, 21.035606104476784]",2.5309027763587916e+19,0.2969099997434432
1905,"[0.4673738963359965, 0.41848023785874483, 0.7787399640094231]","[0.6781415367062644, 0.7302603049364073]","[13.888169024336378, 2.7661566298868436, 38.37275643633216]",1.3691822560790052e+18,0.2975153441069007
1959,"[0.7476263022541944, 0.45348105403810846, 0.4851905252642579]","[1.0642152818209172, 0.5452298984346527]","[5.053500909694421, 3.5488507324251444, 8.765673959751599]",9.045663182909466e+19,0.29781338863638207
575,"[-0.20380569347375585, 0.9780989130776341, -0.04225820090860982]","[1.6130671149572156, 1.7762260957726792]","[3.566073832645377, 11.604951114913463, 13.96235276639407]",1.1563850764623148e+18,0.2988714086639965
2652,"[-0.6673077926434685, -0.7335914201402332, -0.12862324118890558]","[1.6997768904378576, -2.308914693152301]","[39.843189813410234, 6.11225320362281, 33.63164228449381]",1.6767307599657027e+17,0.2989759833241982
1233,"[-0.38414410697469326, -0.52889307224746, 0.7567730328211085]","[0.7124340534445908, -2.198967327513152]","[20.40706087669131, 32.206828008684006, 19.49381605246861]",4.803155473990626e+16,0.29906229235899345
927,"[-0.5576582914866395, 0.828725004416499, 0.047245073722829344]","[1.5235336594633935, 2.163109580264181]","[24.53975717547281, 19.304963007169995, 29.572797356468456]",2.681790658051122e+16,0.2997142176162174
2017,"[-0.8486244933635775, 0.5168487941732705, 0.1127111051540512]","[1.4578452038863143, 2.594550418953923]","[10.129793947087947, 29.807236964696145, 1.6121499369763015]",1.0526707289814672e+17,0.2997338282494697
1016,"[-0.12183864642521368, -0.2151845042123182, 0.9689432250571605]","[0.2498754633502956, -2.0859961784762215]","[27.08081864992387, 10.304369561747869, 6.674325121631883]",2.5856493232869788e+16,0.29976548883255355
2419,"[0.4121853659621297, -0.6706585176720563, -0.6167012054152192]","[2.235341560135792, -1.0197121130917237]","[28.648772076330644, 28.044687700710533, 27.667301922394685]",2.8657231842792215e+19,0.29990812913009823
2066,"[0.4438449221793619, -0.8787017694855581, 0.17574096095829514]","[1.3941379338597735, -1.1030655690347844]","[19.213812946902337, 30.12848515812987, 3.531911006862586]",1.7050870136267096e+16,0.30029802992448196
1027,"[-0.5325746638507469, -0.7322300020418501, -0.4245037709303137]","[2.0092100806165663, -2.1996316940911154]","[34.12308706399145, 19.178763431073236, 11.516157156892675]",2.894138841812338e+17,0.3004007421777462
722,"[0.8002340425278197, -0.46364663381059357, -0.3803383705803143]","[1.9609584621458092, -0.5251263168292968]","[31.03090229463914, 5.094338171013881, 7.325427589072866]",1.9573560403090976e+17,0.30061561085223426
2394,"[-0.496005469164739, 0.008140659996715706, 0.8682812356681933]","[0.51906932909545, 3.1251816870260645]","[38.825205857532566, 11.838656190089015, 6.067542449044602]",4.3159309056223256e+16,0.30086378765043525
778,"[0.3480438672422752, 0.8560369550447946, -0.38218607781115904]","[1.962957135784275, 1.1846340845840388]","[1.3695184975107395, 27.327613862115825, 17.85813750968498]",2.4189173014908304e+16,0.30092922322751886
547,"[0.07035849024440777, 0.33203881402870716, -0.9406380328420368]","[2.7953015836473725, 1.361986621090418]","[17.45177862293733, 36.2580555342941, 5.3356678092574255]",1.269140248770129e+19,0.30113868291163604
1733,"[0.6034491621720239, -0.7542085180602452, 0.2588795472014954]","[1.3089343020881394, -0.8959888123287002]","[1.4109359512462305, 8.015186069304537, 6.201421112442535]",7.516030247708193e+18,0.3011576079680326
1931,"[0.3400062247629083, -0.49339951844149443, 0.8005952050344637]","[0.6425084433163725, -0.9674169757484935]","[23.915107055852687, 21.030851860143187, 29.206349571810776]",1.68015093190177e+16,0.30163927694031245
2669,"[0.21827763720718987, 0.8153597724596409, -0.5362306542429345]","[2.136761397470326, 1.3092227855578136]","[8.801010922614523, 29.197464388243976, 25.448048625374412]",3.880878837089297e+16,0.3018253138559063
49,"[0.8080250913358032, -0.509196578164812, 0.29633477109008655]","[1.2699435675968127, -0.5623114500137284]","[7.746613705162028, 24.0026764638884, 36.176915184257126]",5.283341876806293e+16,0.3021597831584639
1024,"[-0.8112516854297164, -0.5764469713595918, 0.09787539066485773]","[1.4727639909023351, -2.523811289670185]","[27.208082449542726, 6.642586383672173, 6.409063797013652]",2.3428805837061736e+16,0.30318142011897986
930,"[-0.7819891320682919, -0.37703754901269, 0.4963221574356546]","[1.0514391770454035, -2.692325200445178]","[8.000341726784654, 3.143087232982605, 14.098534793194723]",4.851115031523764e+16,0.3034826515090133
35,"[-0.9527270501316321, 0.2531281877717393, 0.16803954446163433]","[1.4019557310295696, 2.881904134782298]","[12.198077239054399, 20.8801232090276, 34.33298977088315]",1.906476074327864e+16,0.30386065314038674
1432,"[-0.25347302809771405, 0.9663316959880222, 0.044209471336903464]","[1.5265724417088447, 1.8273216309073312]","[30.012339058110786, 18.715162766708485, 20.092645910131957]",3.5961217872900188e+16,0.304196199855747
2706,"[0.39005217438840406, 0.7350740681678636, 0.5545497412874931]","[0.9829745366813665, 1.0829462232119367]","[1.4943968082018415, 8.584210657406594, 33.33490462496921]",1.0066886628575534e+18,0.3043887769862433
1910,"[0.5009120434288438, 0.06992658329180315, 0.862668764762626]","[0.5302735199994032, 0.1387021641513717]","[15.713104117639887, 38.84757716655196, 9.616225437394373]",8.403098846369158e+16,0.3048139403590526
92,"[-0.39105292235147227, 0.9056269216519824, -0.16406550734242545]","[1.735606933823528, 1.9784155023532646]","[9.316989167174867, 39.25782391775311, 21.733019657190816]",3.528238949315754e+18,0.30518964566131457
1139,"[0.0038409854204080156, -0.8202505436074813, 0.5719915143974027]","[0.9618646133789489, -1.5661136632159383]","[16.45033283375556, 37.48623945274294, 1.9062219237243525]",2.0757309819056976e+16,0.30552124601153385
1192,"[-0.2588168474080588, 0.9627703300771037, -0.07802006806571264]","[1.6488957655290113, 1.8334127849944812]","[10.640009828309188, 5.331621324454779, 37.74266136484232]",1.2542942743120506e+17,0.3055864038367569
349,"[-0.3166667325248894, 0.9387892510983493, 0.13563525549874889]","[1.4347417116695054, 1.896125168847856]","[20.895373685301426, 14.246259288143591, 30.124488361194125]",1.1238850158784038e+17,0.30573827598444114
1045,"[-0.4840010399389054, -0.7051755358256162, 0.5181413484862152]","[1.0261199217536559, -2.172306025406355]","[19.352704730906723, 13.29722799725898, 24.743590381020063]",1.1483872416963515e+17,0.30655626295989563
2801,"[-0.16351480752789893, 0.8809501203516934, 0.444060573763817]","[1.1106708092654807, 1.7543196590823678]","[5.895966911495236, 38.529365441212285, 27.46338256467584]",1.0437938768936178e+17,0.3066740762182399
324,"[-0.1788739371530869, 0.9779624183049836, 0.10767368754910403]","[1.4629134915571969, 1.7517013889844648]","[5.016893441449639, 4.41617487962818, 26.86961636374966]",1.4857770135976627e+18,0.3067286294520693
1614,"[-0.2330154559661157, 0.4190566578408335, 0.8775507477064634]","[0.5000663549381132, 2.078270761830837]","[14.443317348144006, 5.429790639702134, 7.041557860721748]",6.804118038812769e+17,0.3069611360371267
1639,"[-0.047747652305494735, -0.9979653937178425, -0.04225203712136674]","[1.6130609456598868, -1.6186048668679336]","[39.30057817265289, 22.787780953916876, 14.555532712455806]",3.100335140697594e+19,0.3074131548606007
403,"[0.6653650432045354, 0.029491663203341453, 0.7459353866675903]","[0.7288581422185596, 0.04429504214898217]","[10.002414982612397, 27.131154550270814, 32.73088211090492]",3.2050870200088468e+16,0.30750270503867827
2124,"[0.38468189999403735, -0.8309263879259638, -0.40197160803381016]","[1.9844653860410364, -1.1372210296036989]","[8.47465668040521, 5.3093854727128384, 9.628377547033963]",2.199204678303683e+16,0.30762925110710604
1074,"[0.42686102693693606, 0.7195907884603477, 0.5477031685551572]","[0.9911797604831634, 1.0353920647897652]","[34.96066417076389, 31.315233062832263, 21.455431826217612]",2.119994900826647e+16,0.30796506850207395
1566,"[0.47759350111038684, 0.7966058377959656, -0.3705719726132975]","[1.9504210883277604, 1.030718420463005]","[7.84025064253909, 29.128498919433923, 25.064414272972655]",4.121013670093654e+18,0.3083712769101231
1130,"[-0.63880765793049, 0.7576629712593516, -0.13368469677496156]","[1.7048824536095275, 2.2712878984987817]","[34.712835879884494, 8.189888358887714, 27.886970433963796]",4.618835075830049e+20,0.3087889677417578
704,"[-0.945850201760482, 0.2745552785118554, -0.17316695663703457]","[1.7448406283842313, 2.8590829378455718]","[7.603114249076835, 28.6745512961746, 4.534260437535728]",1.0575985658541782e+17,0.30879169269327683
1937,"[-0.04859949502096236, -0.9926050645718396, -0.11123522315364497]","[1.682262227341829, -1.6197188214699456]","[0.022780252215113705, 28.058400179489144, 6.467782403970034]",2.228189180635168e+16,0.3091666408685141
1283,"[0.562564940023837, -0.591909141788854, -0.5772038254574887]","[2.1860966906263335, -0.8108105007162211]","[9.265100664829799, 11.701371520250825, 27.332161822229136]",5.463824120659621e+18,0.30917174556948684
929,"[-0.21930298387188893, -0.8132625144491523, 0.5389900591446274]","[1.0015586882302003, -1.834189647561591]","[11.673731882600038, 15.714062844074176, 33.17452354546]",1.812055194683836e+17,0.3092535527942455
2326,"[0.8342888788117419, -0.36013414790516657, 0.41745114948178824]","[1.1401577635877935, -0.4075032384538227]","[8.484481338470086, 39.1430123540693, 39.2944432880002]",5.0905333642878285e+17,0.30989824689597206
634,"[-0.6573474570439063, -0.6848472642664674, 0.3144495911026856]","[1.2509195492572556, -2.3357086696620284]","[15.141782972814724, 19.58489312937533, 38.359248593006285]",4.230989875476787e+19,0.3100567958826744
152,"[-0.9912476853832141, -0.11383838691447248, -0.06684944193582705]","[1.6376956591225353, -3.0272500536522684]","[0.5166008825343411, 38.82527206424959, 25.83885370838106]",2.6315703284525984e+16,0.3116292931562689
1099,"[0.10841615396176504, 0.5951390197531046, -0.7962760103930367]","[2.4919103276394874, 1.3906028105807007]","[36.06647688865837, 15.307715317851724, 25.702988367233846]",4.1252134341726637e+17,0.3118137392189799
703,"[-0.8552300325904472, 0.09974471197490492, -0.5085593217987313]","[2.104307079503231, 3.025488085640133]","[7.3532390149119164, 14.539872083372359, 11.981873480291583]",2.0240678728754476e+16,0.31189739210933637
130,"[0.404568448000566, -0.6618046535695752, -0.6311410075379854]","[2.253819659269986, -1.0221014184444182]","[5.919609548981775, 11.813927972813836, 32.0960229800351]",2.2959017600966826e+17,0.31221820254573124
95,"[-0.9852437747884223, -0.15247550289179923, -0.0777555480885677]","[1.6486304395252622, -2.988051547734472]","[6.9609649035365635, 21.262327291278908, 1.6538810302476783]",1.0862377045093628e+18,0.3122922373882342
213,"[-0.9741206967185368, -0.1694987289271228, 0.14952942558801696]","[1.420703996271119, -2.969315715158684]","[17.10526240150069, 35.74189955420044, 1.918070730670864]",9.977232591950692e+18,0.31306278966397416
1539,"[-0.27678370505919875, 0.5330681546387507, 0.7995180567840465]","[0.6443039179044848, 2.0497074386859375]","[17.048347785824628, 17.6099480747203, 11.643273325942701]",2.2677063684305704e+16,0.3131888444231685
1872,"[-0.4411168116423558, 0.3887220694113708, 0.8088949939510222]","[0.628526060598455, 2.419249242422288]","[27.631868263922684, 15.640140447370332, 5.163396054269196]",1.649485275017888e+16,0.31328224919681136
154,"[0.05115646753449099, -0.3794183499232698, 0.9238099001260464]","[0.39288099994285924, -1.4367758763114782]","[10.532712088852968, 33.36187213140937, 21.09028657395195]",2.1437859906883437e+17,0.3132965166290549
59,"[-0.4666010790993509, 0.8823637292465792, -0.06097279961910016]","[1.6318069693407546, 2.0572239226809987]","[21.08616036482271, 25.31487541597013, 29.768126079284805]",9.218826420379363e+16,0.3133181751793329
583,"[-0.8007794776125796, -0.5973204708304611, 0.044277345916392354]","[1.5265045006001154, -2.5007054211608493]","[39.97758133327301, 32.22782514054673, 26.184213770817173]",1.0900130266243015e+20,0.3134352967184204
166,"[0.6766130352760673, 0.6701651126110103, -0.30507953443910146]","[1.8808182708592138, 0.7806105349302143]","[11.386700092511918, 14.908803513156059, 30.908282502578885]",4.999967930206189e+17,0.3136038149181454
2426,"[-0.49591190496155824, -0.860334931427551, -0.11787785323354952]","[1.6889488903984253, -2.0936950637606695]","[6.0259510483123435, 33.49390160076276, 11.058592701583294]",1.9030209410411872e+19,0.31370970329652403
1106,"[-0.9876769507202503, 0.12548982128832953, 0.09352296920527818]","[1.4771364843549069, 3.015214264402481]","[16.392839018166022, 12.497553172778137, 7.478291513167498]",1.0105492481602935e+19,0.31378944784996166
1508,"[-0.7421382698370865, -0.6657329933752878, 0.07765545682561677]","[1.4930626088857002, -2.41041137783387]","[7.40940447157735, 38.83589485069597, 1.6626399317854919]",3.164538818606243e+17,0.3143184809515529
2887,"[-0.16998746437257775, -0.889450751469964, 0.42424241026292836]","[1.1326712138324744, -1.7596342949680912]","[1.3319326660442243, 2.999818997430066, 25.157909180956054]",4.979297081650701e+17,0.31453941424817194
1662,"[-0.935916622242823, 0.3459507013551182, 0.06616788073897176]","[1.5045800681065766, 2.7875308499055818]","[24.03500761077433, 2.8465633021425774, 29.185918942940464]",7.452322370267333e+16,0.3146600295464949
393,"[-0.5017296805795397, -0.4633953170345694, 0.7304328222198018]","[0.7518408688937372, -2.3958932062727945]","[28.356006443928347, 8.383887267950918, 3.2880634859855817]",5.95705195046378e+16,0.3149174745355176
1761,"[0.873765302870768, 0.4450625604954363, 0.1960956724264997]","[1.3734216348547064, 0.4711088721228305]","[39.100331788672804, 33.444516512146414, 25.692189532754863]",3.7455941602645975e+19,0.314986996241992
1750,"[-0.9497058977971522, 0.29284160457629577, 0.11091664581335783]","[1.4596509872460508, 2.84249322328327]","[31.688065617848647, 10.65854616627476, 13.290929152520878]",2.8512764235266864e+17,0.31508560156597065
1939,"[-0.9428434373705467, -0.3331545257367432, 0.007369843174566043]","[1.5634264169037002, -2.8019357957080206]","[11.138554815675324, 39.78310109072821, 31.028706126349256]",3.741334107717801e+16,0.31510648808174646
1338,"[0.1866386025467634, 0.0884296128358148, 0.97844071645302]","[0.20802499438512906, 0.44246985194076976]","[25.127937946722945, 24.08138322751425, 3.0171199462127163]",1.3932282952201368e+17,0.31529478437132424
655,"[-0.36925351275483864, 0.8225059687113694, 0.4325919263606095]","[1.1234306860942043, 1.9927660621526082]","[5.793097755151109, 39.73032396248176, 27.03392122155934]",3.0452493025606083e+19,0.3153634288405725
2097,"[-0.5753625431572174, -0.8137501980159528, -0.08227125354980482]","[1.653160673814424, -2.186238561832825]","[2.3731699120193452, 0.048921531046687505, 23.242456977819202]",5.254135583401232e+17,0.3155090002596116
1342,"[-0.5789335892900929, -0.4813573081953372, 0.6581269186400364]","[0.8524680784981133, -2.447963844067135]","[39.4329592932791, 37.071709265551576, 16.73906410278519]",5.0242584538682104e+16,0.31593228901932763
1813,"[-0.310576148727995, 0.44096146297184197, 0.8420780510231931]","[0.5696717741015217, 2.1844129673594073]","[37.15583780406939, 2.8930921175402275, 37.99560847977801]",6.729762211817109e+16,0.31615320152476367
2864,"[0.7087394101601897, -0.04048822912674284, 0.704307569026463]","[0.7893490527236946, -0.057065079302293945]","[22.231681602623027, 36.45814071018454, 11.411511429597006]",5.340675214482377e+16,0.31639590506902315
