,direction,direction_spherical,peaks,column_density,angle_respect_to_los
2290,"[-0.603296682488172, 0.795670777407507, 0.054232157236274135]","[1.5165375503703122, 2.2195400543950727]","[3.4376556698710914, 22.209326076979483, 38.924852297021076]",2.2948550856007772e+16,0.021452835841781807
91,"[0.21874476907700968, -0.8508826554351093, 0.47764990597837015]","[1.072818533764686, -1.3191654733079037]","[23.786632687718544, 37.589480579220336, 11.3302783799475]",1.6500127994907286e+17,0.021461929938547175
962,"[0.7288214539035991, -0.5878592977828782, 0.35105659706102305]","[1.2120970455553353, -0.6787456735865506]","[14.698229919289702, 1.5960681212948629, 12.596872000703922]",3.016849144357732e+17,0.02160549420712138
388,"[-0.694570160026181, 0.5721706909273864, 0.43611121660063035]","[1.1195235867427913, 2.452520950144328]","[0.7435815019154575, 10.086429180680803, 32.98746182435567]",5.4331634422925736e+16,0.0217793626410964
1752,"[0.8390192575349185, -0.5271043640860472, -0.13493581750965175]","[1.7061450140762222, -0.5609248758467308]","[29.07090058403297, 39.108846658935434, 1.3061145277850272]",2.447363907564135e+19,0.022110777248863497
669,"[0.4847920057388203, -0.7803120989008595, -0.3950819402107177]","[1.9769533728736426, -1.0148768139914155]","[15.119191200106371, 4.666936675931389, 18.909852946234793]",2.779486548085492e+18,0.02215598247567932
2085,"[0.4013113010346726, -0.8576970990342088, 0.3214108367341728]","[1.2435773249229158, -1.133161818718215]","[11.682380759289096, 25.205655377844476, 30.502022559372357]",2.952939554745995e+16,0.02222810145343629
636,"[0.16324549006909905, 0.5679286861961269, -0.806726668313153]","[2.5093879708276727, 1.2909018129830976]","[15.311223145026034, 3.1299573819294344, 34.43404482156616]",2.847019235107337e+16,0.022542294016221598
1956,"[-0.602489850593785, -0.7960490920832323, -0.05754843981326589]","[1.628376579082159, -2.218667116501652]","[13.04590913347161, 1.0100497417959744, 18.897739218613992]",7.204622727578789e+17,0.02287316089672206
323,"[-0.017447068491478042, -0.15198161221599207, 0.9882293202234397]","[0.15358283768916828, -1.6850932281764206]","[33.269843851951876, 19.41010381448991, 28.923755891147373]",3.103874032012872e+17,0.023143482108711894
