,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
20,-0.016451945881436583,-0.008919423232090561,-0.010374060823814032,1.3572586336452436e-08,3.9366376671543744e+46
21,-0.014066584387508069,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,2.7940011491575853e+46
22,-0.014066584387508069,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,4.11822539842622e+46
23,-0.014066584387508069,-0.008919423232090561,-0.010374060823814032,1.3572586336452436e-08,1.5285950719867686e+47
24,-0.014662924760990096,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,5.267241326840868e+46
25,-0.014662924760990096,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,7.059091363963819e+46
26,-0.014662924760990096,-0.008323082858607719,-0.013355762691224982,1.6965732920565545e-09,1.1842459298045413e+47
27,-0.014662924760990096,-0.008323082858607719,-0.01216308194426256,1.6965732920565545e-09,1.126684814113546e+47
28,-0.013470244014026042,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,6.689379610362698e+46
29,-0.013470244014026042,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,1.1048746239874317e+47
30,-0.013470244014026042,-0.008323082858607719,-0.013355762691224982,1.6965732920565545e-09,2.239528733236381e+47
31,-0.013470244014026042,-0.008323082858607719,-0.01216308194426256,1.6965732920565545e-09,3.705679357254538e+47
32,-0.02002998812232956,-0.01488282696691083,-0.0020252955950640235,1.0858069069161949e-07,1.5205589366481012e+45
33,-0.02002998812232956,-0.010112103979054614,-0.006796018582923501,1.0858069069161949e-07,9.839118269587057e+45
34,-0.02002998812232956,-0.010112103979054614,-0.0020252955950640235,1.0858069069161949e-07,6.019643388338741e+45
35,-0.01525926513447253,-0.01488282696691083,-0.006796018582923501,1.0858069069161949e-07,8.024713221332272e+45
36,-0.01525926513447253,-0.01488282696691083,-0.0020252955950640235,1.0858069069161949e-07,4.999067449702531e+45
37,-0.01525926513447253,-0.010112103979054614,-0.006796018582923501,1.0858069069161949e-07,3.353833130662017e+46
